Date,Price,Open,High,Low,Volume,Chg%
30-Mar-12,"5,295.55","5,206.60","5,307.10","5,203.65",164.79M,2.25%
29-Mar-12,"5,178.85","5,145.95","5,194.30","5,135.95",242.56M,-0.31%
28-Mar-12,"5,194.75","5,231.70","5,236.55","5,169.60",145.80M,-0.92%
27-Mar-12,"5,243.15","5,242.95","5,277.95","5,184.65",208.78M,1.14%
26-Mar-12,"5,184.25","5,274.35","5,274.95","5,174.90",169.79M,-1.78%
23-Mar-12,"5,278.20","5,255.65","5,312.00","5,220.00",172.74M,0.95%
22-Mar-12,"5,228.45","5,361.10","5,385.95","5,205.65",205.58M,-2.54%
21-Mar-12,"5,364.95","5,267.20","5,372.35","5,256.00",199.79M,1.71%
20-Mar-12,"5,274.85","5,257.15","5,297.35","5,233.25",181.34M,0.34%
19-Mar-12,"5,257.05","5,337.35","5,340.70","5,238.55",179.88M,-1.14%
16-Mar-12,"5,317.90","5,380.35","5,445.65","5,305.00",267.52M,-1.16%
15-Mar-12,"5,380.50","5,462.50","5,462.50","5,362.30",160.26M,-1.53%
14-Mar-12,"5,463.90","5,490.55","5,499.40","5,437.80",181.71M,0.63%
13-Mar-12,"5,429.50","5,391.05","5,438.65","5,390.80",179.96M,1.31%
12-Mar-12,"5,359.55","5,420.10","5,421.90","5,327.30",176.67M,0.49%
9-Mar-12,"5,333.55","5,294.10","5,342.30","5,291.60",203.01M,2.17%
7-Mar-12,"5,220.45","5,207.05","5,243.85","5,171.45",230.73M,-0.04%
6-Mar-12,"5,222.40","5,266.00","5,382.05","5,206.40",290.40M,-1.10%
5-Mar-12,"5,280.35","5,342.55","5,344.50","5,265.70",196.42M,-1.47%
3-Mar-12,"5,359.40","5,360.05","5,369.60","5,353.40",16.77M,0.00%
2-Mar-12,"5,359.35","5,369.45","5,392.55","5,315.05",185.02M,0.37%
1-Mar-12,"5,339.75","5,366.00","5,372.45","5,297.50",196.87M,-0.84%
29-Feb-12,"5,385.20","5,424.95","5,458.80","5,352.25",226.02M,0.18%
28-Feb-12,"5,375.50","5,310.50","5,391.10","5,306.45",208.13M,1.79%
27-Feb-12,"5,281.20","5,448.10","5,449.80","5,268.15",235.32M,-2.73%
24-Feb-12,"5,429.30","5,479.15","5,521.40","5,405.90",364.66M,-0.98%
23-Feb-12,"5,483.30","5,490.05","5,537.40","5,460.80",307.25M,-0.40%
22-Feb-12,"5,505.35","5,609.75","5,629.95","5,491.35",263.01M,-1.82%
21-Feb-12,"5,607.15","5,561.90","5,621.50","5,561.75",231.13M,0.77%
17-Feb-12,"5,564.30","5,574.20","5,606.70","5,545.20",329.31M,0.77%
16-Feb-12,"5,521.95","5,513.75","5,531.40","5,483.75",270.06M,-0.18%
15-Feb-12,"5,531.95","5,460.60","5,542.10","5,460.60",314.37M,2.14%
14-Feb-12,"5,416.05","5,380.80","5,428.05","5,377.95",201.41M,0.48%
13-Feb-12,"5,390.20","5,382.10","5,421.05","5,351.40",181.56M,0.16%
10-Feb-12,"5,381.60","5,399.80","5,427.75","5,341.05",225.35M,-0.57%
9-Feb-12,"5,412.35","5,343.05","5,423.40","5,338.90",255.31M,0.82%
8-Feb-12,"5,368.15","5,343.80","5,396.90","5,325.20",236.14M,0.62%
7-Feb-12,"5,335.15","5,412.95","5,413.35","5,322.95",181.20M,-0.49%
6-Feb-12,"5,361.65","5,379.45","5,390.05","5,327.25",215.08M,0.67%
3-Feb-12,"5,325.85","5,276.10","5,334.85","5,255.55",217.36M,1.06%
2-Feb-12,"5,269.90","5,272.10","5,289.95","5,225.75",337.96M,0.65%
1-Feb-12,"5,235.70","5,198.15","5,244.60","5,159.00",234.90M,0.70%
31-Jan-12,"5,199.25","5,125.25","5,215.40","5,120.15",215.77M,2.20%
30-Jan-12,"5,087.30","5,163.55","5,166.15","5,076.70",181.14M,-2.26%
27-Jan-12,"5,204.70","5,216.75","5,217.00","5,162.40",215.92M,0.90%
25-Jan-12,"5,158.30","5,151.50","5,174.15","5,130.25",219.18M,0.60%
24-Jan-12,"5,127.35","5,064.80","5,141.05","5,049.80",202.01M,1.61%
23-Jan-12,"5,046.25","5,025.35","5,059.55","5,021.35",158.18M,-0.05%
20-Jan-12,"5,048.60","5,044.85","5,064.15","5,004.30",221.05M,0.60%
19-Jan-12,"5,018.40","4,995.00","5,023.80","4,991.40",203.49M,1.26%
18-Jan-12,"4,955.80","4,977.75","4,980.65","4,931.05",211.20M,-0.23%
17-Jan-12,"4,967.30","4,904.50","4,975.55","4,904.00",223.00M,1.92%
16-Jan-12,"4,873.90","4,844.00","4,880.80","4,827.05",160.48M,0.16%
13-Jan-12,"4,866.00","4,861.95","4,898.85","4,834.20",230.94M,0.72%
12-Jan-12,"4,831.25","4,840.95","4,869.20","4,803.90",183.07M,-0.61%
11-Jan-12,"4,860.95","4,863.15","4,877.20","4,841.60",209.08M,0.24%
10-Jan-12,"4,849.55","4,771.85","4,855.90","4,768.25",201.66M,2.25%
9-Jan-12,"4,742.80","4,747.55","4,758.70","4,695.45",147.54M,-0.09%
7-Jan-12,"4,746.90","4,755.60","4,759.40","4,743.05",187.84M,-0.15%
6-Jan-12,"4,754.10","4,724.15","4,794.90","4,686.85",176.06M,0.09%
5-Jan-12,"4,749.95","4,749.00","4,779.80","4,730.15",177.86M,0.01%
