Date,Price,Open,High,Low,Volume,Chg%
8-Dec-17,"2,651.50","2,646.21","2,651.65","2,644.10",0,0.55%
7-Dec-17,"2,636.98","2,628.38","2,640.99","2,626.53",0,0.29%
6-Dec-17,"2,629.27","2,626.24","2,634.41","2,624.75",0,-0.01%
5-Dec-17,"2,629.57","2,639.78","2,648.72","2,627.73",0,-0.37%
4-Dec-17,"2,639.44","2,657.19","2,665.19","2,639.03",0,-0.11%
1-Dec-17,"2,642.22","2,645.10","2,650.62","2,605.52",0,-0.20%
30-Nov-17,"2,647.58","2,633.93","2,657.74","2,633.93",0,0.82%
29-Nov-17,"2,626.07","2,627.82","2,634.89","2,620.32",0,-0.04%
28-Nov-17,"2,627.04","2,605.94","2,627.69","2,605.44",0,0.98%
27-Nov-17,"2,601.42","2,602.66","2,606.41","2,598.87",0,-0.04%
24-Nov-17,"2,602.42","2,600.42","2,604.21","2,600.42",0,0.21%
22-Nov-17,"2,597.08","2,600.31","2,600.94","2,595.23",0,-0.08%
21-Nov-17,"2,599.03","2,589.17","2,601.19","2,589.17",0,0.65%
20-Nov-17,"2,582.14","2,579.49","2,584.64","2,578.24",0,0.13%
17-Nov-17,"2,578.85","2,582.94","2,583.96","2,577.62",0,-0.26%
16-Nov-17,"2,585.64","2,572.95","2,590.09","2,572.95",0,0.82%
15-Nov-17,"2,564.62","2,569.45","2,572.84","2,557.45",0,-0.55%
14-Nov-17,"2,578.87","2,577.75","2,579.66","2,566.56",0,-0.23%
13-Nov-17,"2,584.84","2,576.53","2,587.66","2,574.48",0,0.10%
10-Nov-17,"2,582.30","2,580.18","2,583.81","2,575.57",0,-0.09%
9-Nov-17,"2,584.62","2,584.00","2,586.50","2,566.33",0,-0.38%
8-Nov-17,"2,594.38","2,588.71","2,595.47","2,585.02",0,0.14%
7-Nov-17,"2,590.64","2,592.11","2,597.02","2,584.35",0,-0.02%
6-Nov-17,"2,591.13","2,587.47","2,593.38","2,585.66",0,0.13%
3-Nov-17,"2,587.84","2,581.93","2,588.42","2,576.77",0,0.31%
2-Nov-17,"2,579.85","2,579.46","2,581.11","2,566.17",0,0.02%
1-Nov-17,"2,579.36","2,583.21","2,588.40","2,574.92",0,0.16%
31-Oct-17,"2,575.26","2,575.99","2,578.29","2,572.15",0,0.09%
30-Oct-17,"2,572.83","2,577.75","2,580.03","2,568.25",0,-0.32%
27-Oct-17,"2,581.07","2,570.26","2,582.98","2,565.94",0,0.81%
26-Oct-17,"2,560.40","2,560.08","2,567.07","2,559.80",0,0.13%
25-Oct-17,"2,557.15","2,566.52","2,567.40","2,544.00",0,-0.47%
24-Oct-17,"2,569.13","2,568.66","2,572.18","2,565.58",0,0.16%
23-Oct-17,"2,564.98","2,578.08","2,578.29","2,564.33",0,-0.40%
20-Oct-17,"2,575.21","2,567.56","2,575.44","2,567.56",0,0.51%
